t,curve0,curve1,curve2,curve3,curve4,curve5
-2.2800000000000002,1.0,1.0,1.0,1.0,1.0,1.0
-2.26,1.0,1.0,1.0,1.0,1.0,1.0
-2.24,1.0,1.0,1.0,1.0,1.0,1.0
-2.2199999999999998,1.0,1.0,1.0,1.0,1.0,1.0
-2.2,1.0,1.0,1.0,1.0,1.0,1.0
-2.1799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
-2.16,1.0,1.0,1.0,1.0,1.0,1.0
-2.1399999999999997,1.0,1.0,1.0,1.0,1.0,1.0
-2.12,1.0,1.0,1.0,1.0,1.0,1.0
-2.0999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-2.08,1.0,1.0,1.0,1.0,1.0,1.0
-2.0599999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-2.04,1.0,1.0,1.0,1.0,1.0,1.0
-2.0199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-2.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.9800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
-1.959999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-1.9399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-1.92,1.0,1.0,1.0,1.0,1.0,1.0
-1.9000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
-1.879999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-1.8599999999999994,1.0,1.0,1.0,0.9961124791890208,1.0,1.0
-1.8399999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-1.8200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
-1.8000000000000007,1.0,1.0,1.0,1.0,1.0,1.0
-1.7799999999999994,1.0,1.0,1.0,1.0,1.0,1.0
-1.7599999999999998,1.0,1.0,1.0,1.0,1.0,1.0
-1.7400000000000002,1.0,1.0,1.0,1.0,1.0,1.0
-1.7200000000000006,1.0,1.0,1.0,1.0,1.0,1.0
-1.6999999999999993,1.0,1.0,1.0,1.0,1.0,1.0
-1.6799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
-1.6600000000000001,1.0,1.0,1.0,1.0,1.0,1.0
-1.6400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
-1.6199999999999992,1.0,1.0,1.0,1.0,1.0,1.0
-1.5999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-1.58,1.0,1.0,1.0,1.0,1.0,1.0
-1.5600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
-1.5399999999999991,1.0,1.0,1.0,1.0,1.0,1.0
-1.5199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-1.5,1.0,1.0,1.0,1.0,1.0,1.0
-1.4800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
-1.459999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-1.4399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-1.42,1.0,1.0,1.0,1.0,1.0,1.0
-1.4000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
-1.379999999999999,1.0,1.0,1.0,0.9962287049096805,1.0,1.0
-1.3599999999999994,1.0,1.0,1.0,1.0,1.0,1.0
-1.3399999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-1.3200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
-1.299999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-1.2799999999999994,1.0,1.0,1.0,1.0,1.0,1.0
-1.2599999999999998,1.0,1.0,1.0,1.0,1.0,1.0
-1.2400000000000002,1.0,1.0,1.0,1.0,1.0,1.0
-1.2200000000000006,1.0,1.0,1.0,1.0,1.0,1.0
-1.1999999999999993,1.0,1.0,1.0,1.0,1.0,1.0
-1.1799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
-1.1600000000000001,1.0,1.0,1.0,1.0,1.0,1.0
-1.1400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
-1.1199999999999992,1.0,1.0,1.0,1.0,1.0,1.0
-1.0999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-1.08,1.0,1.0,1.0,1.0,1.0,1.0
-1.0600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
-1.0399999999999991,1.0,1.0,1.0,1.0,1.0,1.0
-1.0199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.9800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
-0.9599999999999991,1.0,1.0,1.0,1.0,1.0,1.0
-0.9399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-0.9199999999999999,1.0,1.0,1.0,0.9958373435873304,1.0,1.0
-0.9000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
-0.879999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-0.8599999999999994,1.0,1.0,1.0,1.0,1.0,1.0
-0.8399999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-0.8200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
-0.7999999999999989,1.0,1.0,1.0,1.0,1.0,1.0
-0.7799999999999994,1.0,1.0,1.0,1.0,1.0,1.0
-0.7599999999999998,1.0,1.0,1.0,1.0,1.0,1.0
-0.7400000000000002,1.0,1.0,1.0,1.0,1.0,1.0
-0.7200000000000006,1.0,1.0,1.0,1.0,1.0,1.0
-0.6999999999999993,1.0,1.0,1.0,1.0,1.0,1.0
-0.6799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
-0.6600000000000001,1.0,1.0,1.0,1.0,1.0,1.0
-0.6400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
-0.6199999999999992,1.0,1.0,1.0,1.0,1.0,1.0
-0.5999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-0.5800000000000001,1.0,1.0,1.0,1.0,1.0,1.0
-0.5600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
-0.5399999999999991,1.0,1.0,1.0,1.0,1.0,1.0
-0.5199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-0.5,1.0,1.0,1.0,1.0,1.0,1.0
-0.4800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
-0.4599999999999991,1.0,1.0,1.0,0.9957356964087325,1.0,1.0
-0.4399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-0.41999999999999993,1.0,1.0,1.0,1.0,1.0,1.0
-0.40000000000000036,1.0,1.0,1.0,1.0,1.0,1.0
-0.379999999999999,1.0,1.0,1.0,1.0,1.0,1.0
-0.35999999999999943,1.0,1.0,1.0,1.0,1.0,1.0
-0.33999999999999986,1.0,1.0,1.0,1.0,1.0,1.0
-0.3200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
-0.29999999999999893,1.0,1.0,1.0,1.0,1.0,1.0
-0.27999999999999936,1.0,1.0,1.0,1.0,1.0,1.0
-0.2599999999999998,1.0,1.0,1.0,1.0,1.0,1.0
-0.2400000000000002,1.0,1.0,1.0,1.0,1.0,1.0
-0.22000000000000064,1.0,1.0,1.0,1.0,1.0,1.0
-0.1999999999999993,1.0,1.0,1.0,1.0,1.0,1.0
-0.17999999999999972,0.9998628235375998,1.0,1.0,1.0,1.0,1.0
-0.16000000000000014,0.9981736302119286,1.0,1.0,1.0,1.0,1.0
-0.14000000000000057,0.9979918787625619,1.0,1.0,1.0,1.0,1.0
-0.11999999999999922,0.9979033152778374,0.9999540296638283,1.0,1.0,0.9984688557646781,1.0
-0.09999999999999964,0.9978530419844559,0.9965849644041073,1.0,1.0,0.9969887391678021,1.0
-0.08000000000000007,0.9978232466428091,0.9962154446169557,1.0,1.0,0.9967917749804581,1.0
-0.0600000000000005,0.9978055365255915,0.9960633381377654,1.0,1.0,0.9967014710690946,0.9998789010087233
-0.03999999999999915,0.9977953555818554,0.9959906191625234,0.9993839217235826,1.0,0.9966574479309187,0.99971228471154
-0.019999999999999574,0.9977901358842862,0.9959573713133762,0.9983491784964624,1.0,0.9966373565445417,0.9996977244246735
0.0,0.9977885469154155,0.9959478569633927,0.9982916046943641,0.9957140597495836,0.9966317209474727,0.9996943865001328
0.019999999999999574,0.9977901786056586,0.9959577423771002,0.9983491784964624,1.0,0.996637906277835,0.9996977244246735
0.040000000000000924,0.997795452055898,0.9959915342873918,0.9993839217235826,1.0,0.9966588054299942,0.99971228471154
0.0600000000000005,0.9978057114095603,0.9960652603619,1.0,1.0,0.9967042922953598,0.999878901008724
